Account,trading_date,total_pnl,avg_pnl_per_trade,total_trades,total_volume_usd,avg_trade_size_usd,max_trade_size_usd,buy_trades_count,unique_coins_traded,total_fees,sell_trades_count,buy_sell_ratio,profitable_day,net_profit_after_fees,roi_percentage,pnl_volatility,sharpe_ratio_daily,trades_per_coin,date_standardized,sentiment_score,market_regime,cycle_phase,performance_in_fear,performance_in_greed,performance_in_neutral,contrarian_indicator,momentum_indicator
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,155,785108.86,5065.2185,59999.96,0,1,156.2189,155,0.0,0,-156.2189,0.0,0.0,0.0,155.0,2024-11-11,5,Greed_Dominated,Stable,0.0,0.0,0.0,0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,0.0,53,427370.73,8063.5987,64519.0,0,2,56.3794,53,0.0,0,-56.3794,0.0,0.0,0.0,26.5,2024-11-17,5,Greed_Dominated,Stable,0.0,0.0,0.0,0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,0.0,30,837461.39,27915.3797,665771.71,0,1,83.7461,30,0.0,0,-83.7461,0.0,0.0,0.0,30.0,2024-11-18,5,Greed_Dominated,Stable,0.0,0.0,0.0,0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-19086.2783,-1735.1162,11,304128.83,27648.0755,78852.88,11,1,30.4129,0,11000.0,0,-19116.6912,-6.2757,1595.9517135449469,-11.9592,11.0,2024-11-22,5,Greed_Dominated,Stable,0.0,-19086.2783,0.0,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1440.0968,80.0054,18,401342.54,22296.8078,132297.77,8,1,92.284,10,0.7999200079992002,1,1347.8128,0.3588,208.61725429344835,6.903,18.0,2024-11-26,5,Greed_Dominated,Stable,0.0,1440.0968,0.0,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-27,-88548.2632,-1553.4783,57,907778.9,15925.9456,72186.14,57,2,90.7779,0,57000.0,0,-88639.0411,-9.7544,2403.2108465664833,-36.8458,28.5,2024-11-27,5,Greed_Dominated,Stable,0.0,-88548.2632,0.0,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,0.0,11,341989.98,31089.9982,59971.58,0,1,119.6965,11,0.0,0,-119.6965,0.0,0.0,0.0,11.0,2024-11-30,5,Greed_Dominated,Stable,0.0,0.0,0.0,0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-33775.849,-1876.4361,18,233165.69,12953.6494,88902.0,18,1,23.3166,0,18000.0,0,-33799.1656,-14.4858,3954.9132255342574,-8.5402,18.0,2024-12-06,4,Greed_Dominated,Topping,0.0,-33775.849,0.0,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,23834.6777,96.4967,247,2452484.37,9929.0865,225637.33,55,2,332.466,192,0.28645684137061783,1,23502.2117,0.9719,732.9167306723823,32.5203,123.5,2025-01-19,5,Greed_Dominated,Stable,0.0,23834.6777,0.0,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,31542.2414,1971.3901,16,192263.85,12016.4906,65875.68,11,1,9.6132,5,2.1995600879824035,1,31532.6282,16.4057,3470.9312988204924,9.0875,16.0,2025-01-20,5,Greed_Dominated,Stable,0.0,31542.2414,0.0,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,56207.6024,401.4829,140,4176473.02,29831.9501,931290.0,92,1,319.04,48,1.9166267369429804,1,55888.5624,1.3458,2968.396471171566,18.9353,140.0,2025-02-02,4,Greed_Dominated,Stable,0.0,56207.6024,0.0,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,39886.5553,238.8416,167,3172052.63,18994.3271,330172.34,37,2,348.7296,130,0.2846131952831132,1,39537.8257,1.2574,3008.840600385923,13.2564,83.5,2025-02-03,2,Fear_Dominated,Declining,39886.5553,0.0,0.0,1,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,107928.451,1173.1353,92,1797965.55,19543.1038,199513.81,35,2,331.1399,57,0.6140243153628884,1,107597.3111,6.0028,5559.684199487818,19.4127,46.0,2025-02-04,4,Greed_Dominated,Recovery,0.0,107928.451,0.0,0,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,0.0,0.0,7,138458.02,19779.7171,42947.9,0,1,1.9854,7,0.0,0,-1.9854,0.0,0.0,0.0,7.0,2025-02-05,3,Balanced,Declining,0.0,0.0,0.0,0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,16285.3373,651.4135,25,483627.39,19345.0956,150084.3,23,1,0.0,2,11.49425287356322,1,16285.3373,3.3673,1290.0637900796653,12.6237,25.0,2025-02-09,3,Balanced,Recovery,0.0,0.0,16285.3373,0,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,0.0,0.0,3,568174.33,189391.4433,399699.55,0,1,0.0,3,0.0,0,0.0,0.0,0.0,0.0,3.0,2025-02-10,2,Fear_Dominated,Declining,0.0,0.0,0.0,0,0
